seed,stage,correct,n,accuracy
0,plan,44,60,0.733333
0,search,34,60,0.566667
0,compress,37,60,0.616667
0,write,46,60,0.766667
1,plan,44,60,0.733333
1,search,31,60,0.516667
1,compress,36,60,0.6
1,write,39,60,0.65
all,plan,88,120,0.733333
all,search,65,120,0.541667
all,compress,73,120,0.608333
all,write,85,120,0.708333
