stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.191667,-0.275,-0.116667,27,4,3.395e-05,120,taskid,5000
search,compress,0.066667,-0.016667,0.15,9,17,0.16863754,120,taskid,5000
compress,write,0.1,0.016667,0.191667,6,18,0.02265584,120,taskid,5000
