stage,seeds,n_seeds,mean_accuracy,population_sd_across_seeds,min_accuracy,max_accuracy
plan,"0,1",2,0.733333,0.0,0.733333,0.733333
search,"0,1",2,0.541667,0.025,0.516667,0.566667
compress,"0,1",2,0.608333,0.008333,0.6,0.616667
write,"0,1",2,0.708333,0.058333,0.65,0.766667
