stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
plan,0.733333,0.591667,0.866667,taskid,5000,20260802,120,20
search,0.541667,0.433333,0.65,taskid,5000,20260803,120,20
compress,0.608333,0.508333,0.708333,taskid,5000,20260804,120,20
write,0.708333,0.575,0.833333,taskid,5000,20260805,120,20
