stage,exposure_n,false_to_user10_n,false_rate_given_exposure,chance_among_3,gt_user10_n,gt_user10_acc,pred_user10_n
plan,58,8,0.1379,0.3333,14,0.8571,20
search,58,23,0.3966,0.3333,14,0.8571,35
compress,58,19,0.3276,0.3333,14,0.6429,28
write,58,13,0.2241,0.3333,14,0.9286,26
