N,plan_acc,plan_norm,search_acc,search_norm,compress_acc,compress_norm,write_acc,write_norm
N=2,0.8417,0.6834,0.6333,0.2666,0.625,0.25,0.775,0.55
N=3,0.8083,0.7125,0.55,0.325,0.5917,0.3876,0.8,0.7
N=5,0.7583,0.6979,0.4706,0.3382,0.525,0.4062,0.7167,0.6459
