protocol,plan_acc,plan_ci_lo,plan_ci_hi,search_acc,search_ci_lo,search_ci_hi,compress_acc,compress_ci_lo,compress_ci_hi,write_acc,write_ci_lo,write_ci_hi
hardneg,0.8083,0.6917,0.9167,0.55,0.4333,0.6583,0.5917,0.475,0.7,0.8,0.7165,0.8833
symmetric,0.7333,0.5917,0.8583,0.5417,0.4333,0.65,0.6083,0.5,0.7083,0.7083,0.575,0.8333
prior_wrong_n66,0.7273,0.5645,0.875,0.5152,0.3485,0.6714,0.5909,0.4428,0.7206,0.7727,0.6451,0.8971
