stage,seeds,n_seeds,mean_accuracy,population_sd_across_seeds,min_accuracy,max_accuracy
plan,0,1,0.75,,0.75,0.75
search,0,1,0.466667,,0.466667,0.466667
compress,0,1,0.616667,,0.616667,0.616667
write,0,1,0.85,,0.85,0.85
