stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
plan,0.75,0.583333,0.9,taskid,5000,20260802,60,20
search,0.466667,0.35,0.583333,taskid,5000,20260803,60,20
compress,0.616667,0.483333,0.75,taskid,5000,20260804,60,20
write,0.85,0.75,0.933333,taskid,5000,20260805,60,20
