stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.283333,-0.433333,-0.133333,20,3,0.00048828,60,taskid,5000
search,compress,0.15,0.05,0.25,4,13,0.04904175,60,taskid,5000
compress,write,0.233333,0.083333,0.383333,2,16,0.00131226,60,taskid,5000
