seed,stage,correct,n,accuracy
0,plan,45,60,0.75
0,search,28,60,0.466667
0,compress,37,60,0.616667
0,write,51,60,0.85
all,plan,45,60,0.75
all,search,28,60,0.466667
all,compress,37,60,0.616667
all,write,51,60,0.85
