stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.258333,-0.333333,-0.175,32,1,1e-08,120,taskid,5000
search,compress,0.041667,-0.025,0.108333,8,13,0.38331032,120,taskid,5000
compress,write,0.208333,0.141667,0.283333,6,31,4.126e-05,120,taskid,5000
