seed,stage,correct,n,accuracy
0,plan,48,60,0.8
0,search,32,60,0.533333
0,compress,34,60,0.566667
0,write,49,60,0.816667
1,plan,49,60,0.816667
1,search,34,60,0.566667
1,compress,37,60,0.616667
1,write,47,60,0.783333
all,plan,97,120,0.808333
all,search,66,120,0.55
all,compress,71,120,0.591667
all,write,96,120,0.8
