stage,seeds,n_seeds,mean_accuracy,population_sd_across_seeds,min_accuracy,max_accuracy
plan,"0,1",2,0.808333,0.008333,0.8,0.816667
search,"0,1",2,0.55,0.016667,0.533333,0.566667
compress,"0,1",2,0.591667,0.025,0.566667,0.616667
write,"0,1",2,0.8,0.016667,0.783333,0.816667
