stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
plan,0.808333,0.683333,0.916667,taskid,5000,20260802,120,20
search,0.55,0.433333,0.658333,taskid,5000,20260803,120,20
compress,0.591667,0.483333,0.691667,taskid,5000,20260804,120,20
write,0.8,0.708333,0.883333,taskid,5000,20260805,120,20
