stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.166667,-0.266667,-0.066667,26,6,0.00053505,120,taskid,5000
search,compress,0.016667,-0.066667,0.1,10,12,0.8318119,120,taskid,5000
compress,write,0.208333,0.108333,0.308333,6,31,4.126e-05,120,taskid,5000
