stage,seeds,n_seeds,mean_accuracy,population_sd_across_seeds,min_accuracy,max_accuracy
plan,"0,1",2,0.725,0.008333,0.716667,0.733333
search,"0,1",2,0.558333,0.025,0.533333,0.583333
compress,"0,1",2,0.575,0.008333,0.566667,0.583333
write,"0,1",2,0.783333,0.0,0.783333,0.783333
