seed,stage,correct,n,accuracy
0,plan,43,60,0.716667
0,search,32,60,0.533333
0,compress,34,60,0.566667
0,write,47,60,0.783333
1,plan,44,60,0.733333
1,search,35,60,0.583333
1,compress,35,60,0.583333
1,write,47,60,0.783333
all,plan,87,120,0.725
all,search,67,120,0.558333
all,compress,69,120,0.575
all,write,94,120,0.783333
