stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
plan,0.725,0.6,0.841667,taskid,5000,20260802,120,20
search,0.558333,0.441667,0.675,taskid,5000,20260803,120,20
compress,0.575,0.458333,0.683333,taskid,5000,20260804,120,20
write,0.783333,0.683333,0.875,taskid,5000,20260805,120,20
