stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.15,-0.266667,-0.033333,12,3,0.03515625,60,taskid,5000
search,compress,0.066667,-0.033333,0.166667,3,7,0.34375,60,taskid,5000
compress,write,0.15,0.033333,0.266667,3,12,0.03515625,60,taskid,5000
