seed,stage,correct,n,accuracy
0,plan,44,60,0.733333
0,search,35,60,0.583333
0,compress,39,60,0.65
0,write,48,60,0.8
all,plan,44,60,0.733333
all,search,35,60,0.583333
all,compress,39,60,0.65
all,write,48,60,0.8
