stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
plan,0.733333,0.566667,0.883333,taskid,5000,20260802,60,20
search,0.583333,0.45,0.716667,taskid,5000,20260803,60,20
compress,0.65,0.533333,0.766667,taskid,5000,20260804,60,20
write,0.8,0.683333,0.9,taskid,5000,20260805,60,20
