stage,seeds,n_seeds,mean_accuracy,population_sd_across_seeds,min_accuracy,max_accuracy
plan,0,1,0.733333,,0.733333,0.733333
search,0,1,0.583333,,0.583333,0.583333
compress,0,1,0.65,,0.65,0.65
write,0,1,0.8,,0.8,0.8
