condition,stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
original,plan,0.733333,0.6,0.866667,taskid,5000,20260802,60,20
original,search,0.566667,0.45,0.7,taskid,5000,20260803,60,20
original,compress,0.616667,0.466667,0.75,taskid,5000,20260804,60,20
original,write,0.766667,0.633333,0.883333,taskid,5000,20260805,60,20
masked,plan,0.75,0.61625,0.883333,taskid,5000,20260812,60,20
masked,search,0.6,0.466667,0.733333,taskid,5000,20260813,60,20
masked,compress,0.616667,0.466667,0.766667,taskid,5000,20260814,60,20
masked,write,0.733333,0.6,0.866667,taskid,5000,20260815,60,20
