stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.15,-0.266667,-0.05,12,3,0.03515625,60,taskid,5000
search,compress,0.016667,-0.05,0.083333,5,6,1.0,60,taskid,5000
compress,write,0.116667,0.016667,0.216667,1,8,0.0390625,60,taskid,5000
search,write,0.133333,0.016667,0.25,4,12,0.07681274,60,taskid,5000
