stage,masked_minus_original,ci95_low,ci95_high,original_correct_masked_wrong,original_wrong_masked_correct,mcnemar_exact_p_unclustered,n_paired_reports,effect_identified,interpretation
plan,0.016667,0.0,0.05,0,1,1.0,60,True,paired condition effect
search,0.033333,0.0,0.083333,0,2,0.5,60,True,paired condition effect
compress,0.0,-0.083333,0.066667,2,2,1.0,60,True,paired condition effect
write,-0.033333,-0.083333,0.0,2,0,0.5,60,True,paired condition effect
