stage,masked_minus_original,ci95_low,ci95_high,original_correct_masked_wrong,original_wrong_masked_correct,mcnemar_exact_p_unclustered,n_paired_reports,effect_identified,interpretation
plan,-0.083333,-0.15,-0.025,11,1,0.00634766,120,True,paired condition effect
search,0.008333,-0.05,0.075,5,6,1.0,120,True,paired condition effect
compress,-0.016667,-0.058333,0.025,5,3,0.7265625,120,True,paired condition effect
write,-0.016667,-0.05,0.016667,3,1,0.625,120,True,paired condition effect
