stage,masked_minus_original,ci95_low,ci95_high,original_correct_masked_wrong,original_wrong_masked_correct,mcnemar_exact_p_unclustered,n_paired_reports,effect_identified,interpretation
plan,-0.008333,-0.033333,0.016667,2,1,1.0,120,True,paired condition effect
search,0.008333,-0.041667,0.066667,5,6,1.0,120,True,paired condition effect
compress,0.0,-0.041667,0.041667,4,4,1.0,120,True,paired condition effect
write,0.016667,-0.016667,0.05,2,4,0.6875,120,True,paired condition effect
