stage_a,stage_b,accuracy_difference_b_minus_a,ci95_low,ci95_high,a_correct_b_wrong,a_wrong_b_correct,mcnemar_exact_p_unclustered,n_paired_reports,bootstrap_unit,bootstrap_repetitions
plan,search,-0.175,-0.275,-0.075,28,7,0.00050826,120,taskid,5000
search,compress,0.058333,-0.016667,0.133333,11,18,0.2649309,120,taskid,5000
compress,write,0.116667,0.041667,0.191667,4,18,0.00434351,120,taskid,5000
search,write,0.175,0.066667,0.283333,9,30,0.00106502,120,taskid,5000
