condition,stage,accuracy,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_reports,n_tasks
original,plan,0.733333,0.591667,0.866667,taskid,5000,20260802,120,20
original,search,0.541667,0.433333,0.65,taskid,5000,20260803,120,20
original,compress,0.608333,0.508333,0.708333,taskid,5000,20260804,120,20
original,write,0.708333,0.575,0.833333,taskid,5000,20260805,120,20
masked,plan,0.725,0.591458,0.858333,taskid,5000,20260812,120,20
masked,search,0.55,0.45,0.658333,taskid,5000,20260813,120,20
masked,compress,0.608333,0.5,0.716667,taskid,5000,20260814,120,20
masked,write,0.725,0.6,0.841667,taskid,5000,20260815,120,20
